id,xcoord,ycoord,floor,building,nodetype,longname,shortname,teamassigned
PSERV00201,1020,492,1,Faulkner,SERV,Admitting,ADM,P
PSERV00204,1004,1193,4,Faulkner,SERV,Admin,ADMIN1,P
PSERV00304,1250,1234,4,Faulkner,SERV,Administration,ADMIN2,P
PDEPT00505,1271,622,5,Faulkner,DEPT,Ambulatory Clinic,AMB,P
PDEPT00605,1271,687,5,Faulkner,DEPT,Abulatory Care 1,AMB1,P
PDEPT00705,1271,746,5,Faulkner,DEPT,Abulatory Care 2,AMB2,P
PDEPT00805,1271,787,5,Faulkner,DEPT,Abulatory Care 3,AMB3,P
PDEPT00905,1271,851,5,Faulkner,DEPT,Abulatory Care 4,AMB4,P
PDEPT02004,1229,691,4,Faulkner,DEPT,BD Cardiology,BDCARDIO,P
PLAB00101,1091,594,1,Faulkner,LAB,Blood Draw Lab,BDLAB,P
PDEPT00602,816,1182,2,Faulkner,DEPT,Biolmedical Engineering,BIOMED,P
PDEPT01204,2112,1234,4,Faulkner,DEPT,BWH Plastics,BWH,P
PDEPT00305,1373,339,5,Faulkner,DEPT,BWH Surgical Specialties,BWHSS,P
PSERV00703,1286,760,3,Faulkner,FOOD,Cafeteria,CAF,P
PDEPT02104,1128,426,4,Faulkner,DEPT,Cardiology,CARDIO,P
PSERV00403,1130,1328,3,Faulkner,SERV,Chapel,CHAPEL,P
PSERV00804,2020,1236,4,Faulkner,SERV,Compliance/Patient Relations EAST,CPRELE,P
PSERV00704,1922,1235,4,Faulkner,SERV,Compliance/Patient Relations WEST,CPRELW,P
PDEPT00401,1192,536,1,Faulkner,DEPT,Cardiac Rehab,CREHAB,P
PDEPT00502,1402,1073,2,Faulkner,DEPT,Central Sterile Supply East,CSSE,P
PDEPT00402,763,976,2,Faulkner,DEPT,Central Sterile Supply West,CSSW,P
PDEPT00304,907,1189,4,Faulkner,DEPT,Department Offices,DEPTOFF,P
PELEV00101,1218,406,1,Faulkner,ELEV,Elevator X,ELEVX,P
PELEV00102,1200,396,2,Faulkner,ELEV,Elevator X,ELEVX,P
PELEV00103,1206,389,3,Faulkner,ELEV,Elevator X,ELEVX,P
PELEV00104,1192,405,4,Faulkner,ELEV,Elevator X,ELEVX,P
PELEV00105,1212,405,5,Faulkner,ELEV,Elevator X,ELEVX,P
PELEV00201,1181,1157,1,Faulkner,ELEV,Elevator Y,ELEVY,P
PELEV00202,1076,1143,2,Faulkner,ELEV,Elevator Y,ELEVY,P
PELEV00203,1164,1149,3,Faulkner,ELEV,Elevator Y,ELEVY,P
PELEV00204,1162,1161,4,Faulkner,ELEV,Elevator Y,ELEVY,P
PELEV00205,1182,1166,5,Faulkner,ELEV,Elevator Y,ELEVY,P
PELEV00301,1320,1139,1,Faulkner,ELEV,Elevator Z,ELEVZ,P
PELEV00302,1354,1128,2,Faulkner,ELEV,Elevator Z,ELEVZ,P
PELEV00303,1342,1151,3,Faulkner,ELEV,Elevator Z,ELEVZ,P
PELEV00304,1339,1158,4,Faulkner,ELEV,Elevator Z,ELEVZ,P
PELEV00305,1322,1166,5,Faulkner,ELEV,Elevator Z,ELEVZ,P
PDEPT00101,904,828,1,Faulkner,DEPT,Emergency Department,EMER,P
PDEPT00301,941,909,1,Faulkner,DEPT,Endoscopy,ENDO,P
PDEPT00405,1271,510,5,Faulkner,DEPT,Endocrinology/Diabetes/Hem-Onc,ENDO,P
PDEPT00105,1166,279,5,Faulkner,DEPT,ENT/Eye/Physical/Dermatologist,ENT/EYE/PHYS/DERM,P
PDEPT01104,2114,1189,4,Faulkner,DEPT,Foot and Ankle Center,FACENT,P
PSERV00202,726,708,2,Faulkner,SERV,Facilities North,FACILN,P
PSERV00302,726,979,2,Faulkner,SERV,Facilities South,FACILS,P
PSERV00504,1920,1192,4,Faulkner,SERV,Finance,FIN,P
PSERV00904,2210,1234,4,Faulkner,SERV,Finance Office,FINOFF,P
PSERV00102,1414,591,2,Faulkner,FOOD,Food Services,FOODS,P
PDEPT00103,1189,487,3,Faulkner,DEPT,Family Patient Resources,FPRES,P
PDEPT02304,1314,274,4,Faulkner,DEPT,Gastroentology Associates,GASTRO,P
PSERV00303,1233,957,3,Faulkner,RETL,Gift Shop,GIFTS,P
PDEPT00503,1387,355,3,Faulkner,DEPT,Division of GYN,GYN ,P
PDEPT00303,1314,253,3,Faulkner,DEPT,Gynocology/Oncologoy,GYNO/ONCO,P
PHALL00101,1021,515,1,Faulkner,HALL,Hall 1,HALL001,P
PHALL00102,741,657,2,Faulkner,HALL,Hall 1,HALL001,P
PHALL00103,1148,464,3,Faulkner,HALL,Hall 1,HALL001,P
PHALL00104,1146,477,4,Faulkner,HALL,Hall 1,HALL001,P
PHALL00105,1141,479,5,Faulkner,HALL,Hall 1,HALL001,P
PHALL00201,1121,515,1,Faulkner,HALL,Hall 2,HALL002,P
PHALL00202,742,708,2,Faulkner,HALL,Hall 2,HALL002,P
PHALL00203,1147,298,3,Faulkner,HALL,Hall 2,HALL002,P
PHALL00204,1145,424,4,Faulkner,HALL,Hall 2,HALL002,P
PHALL00205,1141,409,5,Faulkner,HALL,Hall 2,HALL002,P
PHALL00301,1121,595,1,Faulkner,HALL,Hall 3,HALL003,P
PHALL00302,745,836,2,Faulkner,HALL,Hall 3,HALL003,P
PHALL00303,1201,269,3,Faulkner,HALL,Hall 3,HALL003,P
PHALL00304,1146,323,4,Faulkner,HALL,Hall 3,HALL003,P
PHALL00305,1142,308,5,Faulkner,HALL,Hall 3,HALL003,P
PHALL00401,1148,515,1,Faulkner,HALL,Hall 4,HALL004,P
PHALL00402,744,975,2,Faulkner,HALL,Hall 4,HALL004,P
PHALL00403,1254,261,3,Faulkner,HALL,Hall 4,HALL004,P
PHALL00404,1176,293,4,Faulkner,HALL,Hall 4,HALL004,P
PHALL00405,1170,294,5,Faulkner,HALL,Hall 4,HALL004,P
PHALL00501,1192,515,1,Faulkner,HALL,Hall 5,HALL005,P
PHALL00502,744,1202,2,Faulkner,HALL,Hall 5,HALL005,P
PHALL00503,1314,265,3,Faulkner,HALL,Hall 5,HALL005,P
PHALL00504,1251,278,4,Faulkner,HALL,Hall 5,HALL005,P
PHALL00505,1247,283,5,Faulkner,HALL,Hall 5,HALL005,P
PHALL00601,1254,518,1,Faulkner,HALL,Hall 6,HALL006,P
PHALL00602,817,1206,2,Faulkner,HALL,Hall 6,HALL006,P
PHALL00603,1367,295,3,Faulkner,HALL,Hall 6,HALL006,P
PHALL00604,1315,290,4,Faulkner,HALL,Hall 6,HALL006,P
PHALL00605,1268,283,5,Faulkner,HALL,Hall 6,HALL006,P
PHALL00701,1282,523,1,Faulkner,HALL,Hall 7,HALL007,P
PHALL00702,1131,1203,2,Faulkner,HALL,Hall 7,HALL007,P
PHALL00703,1370,352,3,Faulkner,HALL,Hall 7,HALL007,P
PHALL00704,1358,311,4,Faulkner,HALL,Hall 7,HALL007,P
PHALL00705,1315,290,5,Faulkner,HALL,Hall 7,HALL007,P
PHALL00801,1313,523,1,Faulkner,HALL,Hall 8,HALL008,P
PHALL00802,1131,1142,2,Faulkner,HALL,Hall 8,HALL008,P
PHALL00803,1368,444,3,Faulkner,HALL,Hall 8,HALL008,P
PHALL00804,1358,359,4,Faulkner,HALL,Hall 8,HALL008,P
PHALL00805,1356,309,5,Faulkner,HALL,Hall 8,HALL008,P
PHALL00901,1399,524,1,Faulkner,HALL,Hall 9,HALL009,P
PHALL00902,1233,1203,2,Faulkner,HALL,Hall 9,HALL009,P
PHALL00903,1367,469,3,Faulkner,HALL,Hall 9,HALL009,P
PHALL00904,1358,442,4,Faulkner,HALL,Hall 9,HALL009,P
PHALL00905,1356,339,5,Faulkner,HALL,Hall 9,HALL009,P
PHALL01001,1472,523,1,Faulkner,HALL,Hall 10,HALL010,P
PHALL01002,1231,1088,2,Faulkner,HALL,Hall 10,HALL010,P
PHALL01003,1257,466,3,Faulkner,HALL,Hall 10,HALL010,P
PHALL01004,1356,480,4,Faulkner,HALL,Hall 10,HALL010,P
PHALL01005,1356,439,5,Faulkner,HALL,Hall 10,HALL010,P
PHALL01101,1253,406,1,Faulkner,HALL,Hall 11,HALL011,P
PHALL01102,1402,1202,2,Faulkner,HALL,Hall 11,HALL011,P
PHALL01103,1255,391,3,Faulkner,HALL,Hall 11,HALL011,P
PHALL01104,1252,479,4,Faulkner,HALL,Hall 11,HALL011,P
PHALL01105,1357,477,5,Faulkner,HALL,Hall 11,HALL011,P
PHALL01201,1252,300,1,Faulkner,HALL,Hall 12,HALL012,P
PHALL01202,1401,1128,2,Faulkner,HALL,Hall 12,HALL012,P
PHALL01203,1208,466,3,Faulkner,HALL,Hall 12,HALL012,P
PHALL01204,1252,406,4,Faulkner,HALL,Hall 12,HALL012,P
PHALL01205,1249,479,5,Faulkner,HALL,Hall 12,HALL012,P
PHALL01301,1247,236,1,Faulkner,HALL,Hall 13,HALL013,P
PHALL01302,1434,1094,2,Faulkner,HALL,Hall 13,HALL013,P
PHALL01303,1208,486,3,Faulkner,HALL,Hall 13,HALL013,P
PHALL01304,1252,546,4,Faulkner,HALL,Hall 13,HALL013,P
PHALL01305,1248,404,5,Faulkner,HALL,Hall 13,HALL013,P
PHALL01401,1400,742,1,Faulkner,HALL,Hall 14,HALL014,P
PHALL01402,1435,974,2,Faulkner,HALL,Hall 14,HALL014,P
PHALL01403,1208,687,3,Faulkner,HALL,Hall 14,HALL014,P
PHALL01404,1252,689,4,Faulkner,HALL,Hall 14,HALL014,P
PHALL01405,1249,509,5,Faulkner,HALL,Hall 14,HALL014,P
PHALL01501,1837,741,1,Faulkner,HALL,Hall 15,HALL015,P
PHALL01502,1434,873,2,Faulkner,HALL,Hall 15,HALL015,P
PHALL01503,1141,688,3,Faulkner,HALL,Hall 15,HALL015,P
PHALL01504,1252,842,4,Faulkner,HALL,Hall 15,HALL015,P
PHALL01505,1250,550,5,Faulkner,HALL,Hall 15,HALL015,P
PHALL01601,1399,828,1,Faulkner,HALL,Hall 16,HALL016,P
PHALL01602,1432,587,2,Faulkner,HALL,Hall 16,HALL016,P
PHALL01603,1254,715,3,Faulkner,HALL,Hall 16,HALL016,P
PHALL01604,1252,921,4,Faulkner,HALL,Hall 16,HALL016,P
PHALL01605,1250,622,5,Faulkner,HALL,Hall 16,HALL016,P
PHALL01701,1254,829,1,Faulkner,HALL,Hall 17,HALL017,P
PHALL01702,1435,495,2,Faulkner,HALL,Hall 17,HALL017,P
PHALL01703,1255,761,3,Faulkner,HALL,Hall 17,HALL017,P
PHALL01704,1252,975,4,Faulkner,HALL,Hall 17,HALL017,P
PHALL01705,1250,688,5,Faulkner,HALL,Hall 17,HALL017,P
PHALL01801,1254,559,1,Faulkner,HALL,Hall 18,HALL018,P
PHALL01802,1350,495,2,Faulkner,HALL,Hall 18,HALL018,P
PHALL01803,1257,958,3,Faulkner,HALL,Hall 18,HALL018,P
PHALL01804,1252,1039,4,Faulkner,HALL,Hall 18,HALL018,P
PHALL01805,1250,745,5,Faulkner,HALL,Hall 18,HALL018,P
PHALL01901,1091,829,1,Faulkner,HALL,Hall 19,HALL019,P
PHALL01902,1350,474,2,Faulkner,HALL,Hall 19,HALL019,P
PHALL01903,1257,1065,3,Faulkner,HALL,Hall 19,HALL019,P
PHALL01904,1252,1070,4,Faulkner,HALL,Hall 19,HALL019,P
PHALL01905,1250,787,5,Faulkner,HALL,Hall 19,HALL019,P
PHALL02001,939,829,1,Faulkner,HALL,Hall 20,HALL020,P
PHALL02002,1352,455,2,Faulkner,HALL,Hall 20,HALL020,P
PHALL02003,1256,1146,3,Faulkner,HALL,Hall 20,HALL020,P
PHALL02004,1252,1160,4,Faulkner,HALL,Hall 20,HALL020,P
PHALL02005,1250,850,5,Faulkner,HALL,Hall 20,HALL020,P
PHALL02101,1254,866,1,Faulkner,HALL,Hall 21,HALL021,P
PHALL02102,1354,369,2,Faulkner,HALL,Hall 21,HALL021,P
PHALL02103,1194,1219,3,Faulkner,HALL,Hall 21,HALL021,P
PHALL02104,1252,1213,4,Faulkner,HALL,Hall 21,HALL021,P
PHALL02105,1250,953,5,Faulkner,HALL,Hall 21,HALL021,P
PHALL02201,1254,923,1,Faulkner,HALL,Hall 22,HALL022,P
PHALL02202,1351,278,2,Faulkner,HALL,Hall 22,HALL022,P
PHALL02203,1257,1221,3,Faulkner,HALL,Hall 22,HALL022,P
PHALL02204,1415,1213,4,Faulkner,HALL,Hall 22,HALL022,P
PHALL02205,1250,1057,5,Faulkner,HALL,Hall 22,HALL022,P
PHALL02301,1255,1042,1,Faulkner,HALL,Hall 23,HALL023,P
PHALL02302,1246,278,2,Faulkner,HALL,Hall 23,HALL023,P
PHALL02303,1253,1327,3,Faulkner,HALL,Hall 23,HALL023,P
PHALL02304,1460,1213,4,Faulkner,HALL,Hall 23,HALL023,P
PHALL02305,1251,1110,5,Faulkner,HALL,Hall 23,HALL023,P
PHALL02401,1255,1065,1,Faulkner,HALL,Hall 24,HALL024,P
PHALL02402,1249,395,2,Faulkner,HALL,Hall 24,HALL024,P
PHALL02404,1573,1213,4,Faulkner,HALL,Hall 24,HALL024,P
PHALL02405,1296,1110,5,Faulkner,HALL,Hall 24,HALL024,P
PHALL02501,1255,1139,1,Faulkner,HALL,Hall 25,HALL025,P
PHALL02502,1252,476,2,Faulkner,HALL,Hall 25,HALL025,P
PHALL02504,1698,1213,4,Faulkner,HALL,Hall 25,HALL025,P
PHALL02505,1297,1166,5,Faulkner,HALL,Hall 25,HALL025,P
PHALL02601,1256,1157,1,Faulkner,HALL,Hall 26,HALL026,P
PHALL02602,1398,1092,2,Faulkner,HALL,Hall 26,HALL026,P
PHALL02604,1777,1213,4,Faulkner,HALL,Hall 26,HALL026,P
PHALL02605,1297,1210,5,Faulkner,HALL,Hall 26,HALL026,P
PHALL02701,1400,946,1,Faulkner,HALL,Hall 27,HALL027,P
PHALL02702,1435,1131,2,Faulkner,HALL,Hall 27,HALL027,P
PHALL02704,1848,1213,4,Faulkner,HALL,Hall 27,HALL027,P
PHALL02705,2346,1203,5,Faulkner,HALL,Hall 27,HALL027,P
PHALL02801,1401,1113,1,Faulkner,HALL,Hall 28,HALL028,P
PHALL02804,1923,1213,4,Faulkner,HALL,Hall 28,HALL028,P
PHALL02805,1207,1110,5,Faulkner,HALL,Hall 28,HALL028,P
PHALL02901,1402,1162,1,Faulkner,HALL,Hall 29,HALL029,P
PHALL02904,1976,1213,4,Faulkner,HALL,Hall 29,HALL029,P
PHALL02905,1206,1166,5,Faulkner,HALL,Hall 29,HALL029,P
PHALL03001,2054,1115,1,Faulkner,HALL,Hall 30,HALL030,P
PHALL03004,2020,1213,4,Faulkner,HALL,Hall 30,HALL030,P
PHALL03005,1207,1209,5,Faulkner,HALL,Hall 30,HALL030,P
PHALL03101,2347,1116,1,Faulkner,HALL,Hall 31,HALL031,P
PHALL03104,2115,1213,4,Faulkner,HALL,Hall 31,HALL031,P
PHALL03105,947,1209,5,Faulkner,HALL,Hall 31,HALL031,P
PHALL03204,2210,1213,4,Faulkner,HALL,Hall 32,HALL032,P
PHALL03205,804,1210,5,Faulkner,HALL,Hall 32,HALL032,P
PHALL03304,2291,1213,4,Faulkner,HALL,Hall 33,HALL033,P
PHALL03305,680,1210,5,Faulkner,HALL,Hall 33,HALL033,P
PHALL03404,1098,1213,4,Faulkner,HALL,Hall 34,HALL034,P
PHALL03405,622,1211,5,Faulkner,HALL,Hall 34,HALL034,P
PHALL03504,1002,1213,4,Faulkner,HALL,Hall 35,HALL035,P
PHALL03505,157,1201,5,Faulkner,HALL,Hall 35,HALL035,P
PHALL03604,908,1213,4,Faulkner,HALL,Hall 36,HALL036,P
PHALL03704,695,1218,4,Faulkner,HALL,Hall 37,HALL037,P
PHALL03804,447,1220,4,Faulkner,HALL,Hall 38,HALL038,P
PHALL03904,308,1220,4,Faulkner,HALL,Hall 39,HALL039,P
PCONF00103,1141,723,3,Faulkner,CONF,Huvos Auditorium,HAUD,P
PDEPT01005,1228,623,5,Faulkner,DEPT,Internal Medicine/Headache,HEAD,P
PDEPT01805,805,1189,5,Faulkner,DEPT,HemoDialysis,HEMO,P
PSERV01004,1272,974,4,Faulkner,SERV,House Keeping,HKEEP,P
PSERV00404,1846,1194,4,Faulkner,SERV,HR,HR,P
PDEPT02204,1129,322,4,Faulkner,DEPT,HVMA Internal Medicine,HVMAINTMED,P
PDEPT02404,1375,359,4,Faulkner,DEPT,HVMA Neurology,HVMANEURO,P
PDEPT01905,585,1211,5,Faulkner,DEPT,Intesive Care Unit/Critical Care Unit east,ICUE,P
PDEPT02005,186,1200,5,Faulkner,DEPT,Intesive Care Unit/Critical Care Unit west,ICUW,P
PDEPT01404,2289,1192,4,Faulkner,DEPT,IS,IS,P
PKIOS00101,1378,261,1,Faulkner,KIOS,Navigation Kiosk,KIOSK,P
PLAB00401,1463,1162,1,Faulkner,LAB,LAB,LAB,P
PSERV00301,1380,946,1,Faulkner,SERV,Linens,LINEN,P
PEXIT00101,1253,152,1,Faulkner,EXIT,Atrium Main Lobby,LOBBY,P
PSERV00604,2017,1190,4,Faulkner,SERV,Lockers,LOCKER,P
PDEPT01604,1270,1039,4,Faulkner,DEPT,Lung Research,LUNGRES,P
PSERV00402,671,1202,2,Faulkner,SERV,Mechanical Space,MECH,P
PSERV00103,1332,1221,3,Faulkner,SERV,Mechanical Space East,MECHE,P
PSERV00203,1120,1218,3,Faulkner,SERV,Mechanical Space West,MECHW,P
PDEPT00404,1004,1234,4,Faulkner,DEPT,Medical Library,MEDLIB,P
PDEPT00603,1387,444,3,Faulkner,DEPT,Med Staff Lounge,MEDLOUNGE,P
PDEPT00102,742,637,2,Faulkner,DEPT,Material Management,MM,P
PDEPT01504,1226,843,4,Faulkner,DEPT,MOHS Clinic,MOHSC,P
PDEPT00302,726,838,2,Faulkner,DEPT,Morgue,MORG,P
PDEPT00501,1398,500,1,Faulkner,DEPT,MRI/CT,MRI/CT,P
PDEPT01904,1270,689,4,Faulkner,DEPT,Neurology,NEURO,P
PDEPT01205,1182,1110,5,Faulkner,DEPT,Nursing Staff Development,NSD,P
PDEPT01704,1268,923,4,Faulkner,DEPT,Nurse's Suite,NURSES,P
PDEPT00403,1377,280,3,Faulkner,DEPT,OB/GYN/Association,OB/GYN/A,P
PDEPT01605,947,1233,5,Faulkner,DEPT,Outpatient Infusion Center,OIC,P
PDEPT00204,307,1239,4,Faulkner,DEPT,On-Call,On-Call,P
PDEPT01505,2316,1203,5,Faulkner,DEPT,Oncology Clinic east,ONCE,P
PDEPT01405,1381,1211,5,Faulkner,DEPT,Oncology Clinic west,ONCW,P
PDEPT01001,2054,1136,1,Faulkner,DEPT,Operation Room,OR,P
PDEPT00901,1423,827,1,Faulkner,DEPT,Operation Rooms,ORS,P
PDEPT00205,1268,266,5,Faulkner,DEPT,Orthopedic Association,ORTHO,P
PDEPT00902,1453,971,2,Faulkner,DEPT,Occupational Therapy,OTHERAPY,P
PDEPT01202,1162,282,2,Faulkner,DEPT,Otolaryngology,OTOL,P
PDEPT00702,1131,1224,2,Faulkner,DEPT,Psych/Addiction Care,PACARE,P
PDEPT00504,1459,1194,4,Faulkner,DEPT,PATSAFE,PATSAFE,P
PDEPT00704,1570,1236,4,Faulkner,DEPT,Primary Care Physicians,PCP,P
PDEPT00202,763,707,2,Faulkner,DEPT,Pharmacy,PHARM,P
PDEPT01105,1230,745,5,Faulkner,DEPT,BWH Primary Care Physicians,PHYS,P
PDEPT01002,1636,1203,2,Faulkner,DEPT,Psychiatric Inpatient Care,PICARE,P
PDEPT00601,1275,559,1,Faulkner,DEPT,Pre-Admittance Screening,PSCREEN,P
PDEPT01804,1270,844,4,Faulkner,DEPT,Pulmonary Services,PSERV,P
PDEPT01102,1374,458,2,Faulkner,DEPT,Plastic Surgery,PSURGERY,P
PDEPT00802,1452,870,2,Faulkner,DEPT,Physical Therapy,PTHERAPY,P
PLAB00201,1275,866,1,Faulkner,LAB,PULM Lab,PULMLAB,P
PSERV00101,1276,1043,1,Faulkner,SERV,QR MAT Management,QRMANG,P
PDEPT00804,1697,1193,4,Faulkner,DEPT,QUALIMP,QUALIMP,P
PDEPT00701,1538,519,1,Faulkner,DEPT,Radiology,RADIO,P
PDEPT00801,1838,760,1,Faulkner,DEPT,Recovery,RECOV,P
PDEPT01705,948,1186,5,Faulkner,DEPT,Residents ,RES,P
PREST00101,1147,490,1,Faulkner,REST,Restroom A,RESTA,P
PREST00102,1380,363,2,Faulkner,REST,Restroom A,RESTA,P
PREST00103,1255,297,3,Faulkner,REST,Restroom A,RESTA,P
PREST00104,1251,307,4,Faulkner,REST,Restroom A,RESTA,P
PREST00105,1249,312,5,Faulkner,REST,Restroom A,RESTA,P
PREST00201,1313,503,1,Faulkner,REST,Restroom B,RESTB,P
PREST00202,1461,1128,2,Faulkner,REST,Restroom B,RESTB,P
PREST00203,1141,641,3,Faulkner,REST,Restroom B,RESTB,P
PREST00204,907,1249,4,Faulkner,REST,Restroom B,RESTB,P
PREST00205,1227,1166,5,Faulkner,REST,Restroom B,RESTB,P
PREST00303,1195,1250,3,Faulkner,REST,Restroom C,RESTC,P
PREST00304,1414,1179,4,Faulkner,REST,Restroom C,RESTC,P
PREST00305,622,1228,5,Faulkner,REST,Restroom C,RESTC,P
PDEPT02504,1375,440,4,Faulkner,DEPT,Rheumatology Center,RHEUMA,P
PDEPT00203,1254,243,3,Faulkner,DEPT,Rsolindale Pediatric Association,RPA,P
PRETL00101,1072,241,1,Faulkner,FOOD,Starbucks,SB,P
PCONF00304,1097,1234,4,Faulkner,CONF,Sodowsky Conference Room,SCONF,P
PSERV00603,1251,1460,3,Faulkner,SERV,Shuttle Pickup,SHUTTLE,P
PDEPT01304,2211,1191,4,Faulkner,DEPT,Spine FAC,SPINEFAC,P
PDEPT00201,1091,810,1,Faulkner,DEPT,Special testing,SPTEST,P
PSTAI00104,159,1219,4,Faulkner,STAI,Staircase A,STAIRA,P
PSTAI00105,157,1232,5,Faulkner,STAI,Staircase A,STAIRA,P
PSTAI00204,696,1248,4,Faulkner,STAI,Staircase B,STAIRB,P
PSTAI00205,680,1229,5,Faulkner,STAI,Staircase B,STAIRB,P
PSTAI00101,1239,1066,1,Faulkner,STAI,Staircase C,STAIRC,P
PSTAI00102,1204,1089,2,Faulkner,STAI,Staircase C,STAIRC,P
PSTAI00103,1221,1067,3,Faulkner,STAI,Staircase C,STAIRC,P
PSTAI00304,1216,1069,4,Faulkner,STAI,Staircase C,STAIRC,P
PSTAI00305,1230,1057,5,Faulkner,STAI,Staircase C,STAIRC,P
PSTAI00201,2347,1195,1,Faulkner,STAI,Staircase D,STAIRD,P
PSTAI00404,2343,1212,4,Faulkner,STAI,Staircase D,STAIRD,P
PSTAI00405,2345,1252,5,Faulkner,STAI,Staircase D,STAIRD,P
PSTAI00301,1288,405,1,Faulkner,STAI,Staircase E,STAIRE,P
PSTAI00202,1299,395,2,Faulkner,STAI,Staircase E,STAIRE,P
PSTAI00203,1308,390,3,Faulkner,STAI,Staircase E,STAIRE,P
PSTAI00504,1311,405,4,Faulkner,STAI,Staircase E,STAIRE,P
PSTAI00505,1286,404,5,Faulkner,STAI,Staircase E,STAIRE,P
PSTAI00401,1283,300,1,Faulkner,STAI,Staircase F,STAIRF,P
PCONF00105,1122,409,5,Faulkner,CONF,Suite 51,SUITE51,P
PCONF00205,1375,439,5,Faulkner,CONF,Suite 58,SUITE58,P
PCONF00305,1228,551,5,Faulkner,CONF,Suite 5940,SUITE5940,P
PCONF00405,1230,510,5,Faulkner,CONF,Suite 5945,SUITE5945,P
PCONF00104,1274,548,4,Faulkner,CONF,Suites,SUITES,P
PDEPT00604,1571,1191,4,Faulkner,DEPT,Surgery Department,SURGDEPT,P
PDEPT00904,1775,1193,4,Faulkner,DEPT,SURGSPEC,SURGSPEC,P
PSERV00104,1095,1191,4,Faulkner,SERV,Social Work,SWORK,P
PCONF00204,446,1244,4,Faulkner,CONF,Tynan Conference Room,TCONF,P
PDEPT00104,447,1204,4,Faulkner,DEPT,Urology,URO,P
PCONF00505,1207,1234,5,Faulkner,CONF,Vacant,VACANT,P
PLAB00301,1275,923,1,Faulkner,LAB,VASC Lab,VASCLAB,P
PSERV00503,1385,1329,3,Faulkner,SERV,Volunteer,VOLU,P
PDEPT01004,1975,1236,4,Faulkner,DEPT,VP Clinical Services,VPCSERV,P
PLAB00105,1228,953,5,Faulkner,LAB,X-Ray,XRAY,P
PDEPT01305,1272,1055,5,Faulkner,DEPT,X-Ray Waiting ,XRAYWAIT,P
